"n","prev","mean","n_mean","prev_se","mean_se","prev_slope","mean_slope","prev_slope_se","mean_slope_se","subgroup","year"
509,0.392927308447937,0.346412556053812,892,0.0216479892723538,0.0159318509794101,-0.108332008186841,-0.0262371174573205,0.031626417084946,0.0221921063711219,"1",2003
383,0.284595300261097,0.320175438596491,912,0.0230563400845629,0.015448809324898,0.0613404275271832,-0.0257428904166196,0.0309728174866712,0.0214729498546135,"1",2005
529,0.34593572778828,0.294432548179872,934,0.0206814072289006,0.0149138145992798,-0.118775233961119,0.0157278796276151,0.029346186110258,0.0212428127247214,"1",2007
405,0.22716049382716,0.310160427807487,935,0.0208201353081644,0.0151273007028979,0.146424411833217,-0.00549721537225351,0.0295808001880538,0.0211745651765234,"1",2009
530,0.373584905660377,0.304663212435233,965,0.0210129889714741,0.0148164430231733,-0.152895250487964,-0.124578466672521,0.0289294867340052,0.0193891816023479,"1",2011
435,0.220689655172414,0.180084745762712,944,0.019883900451815,0.012506533466548,-0.0753065510466771,-0.0251702158481819,0.0252877324608919,0.0172128126785553,"1",2013
509,0.145383104125737,0.15491452991453,936,0.0156236972524418,0.0118265608254111,0.0208932424784787,-0.00258894851918109,0.0238486242527678,0.0170296794228613,"1",2015
427,0.166276346604215,0.152325581395349,860,0.0180182397285014,0.0122532624344815,-0.0277082172739614,NA,0.0245016598299896,NA,"1",2017
433,0.138568129330254,NA,NA,0.0166034445676426,NA,NA,NA,NA,NA,"1",2019
396,0.669191919191919,0.631067961165049,721,0.023643719908498,0.017969815559123,-0.0845765345765346,-0.0663330659739265,0.0361417517474917,0.0250201612246615,"2",2003
325,0.584615384615385,0.564734895191122,811,0.0273349726223718,0.0174096006984409,-0.0331750553972776,-0.0485311914874184,0.0354423384509349,0.0243339713040482,"2",2005
486,0.551440329218107,0.516203703703704,864,0.0225601114049732,0.0170014106163896,-0.0805408583186362,-0.0804670265877163,0.034177389725077,0.0233659078310548,"2",2007
378,0.470899470899471,0.435736677115987,957,0.0256736312549471,0.0160286520276118,-0.0581188145954985,-0.0734807118231458,0.0328294948528051,0.0225275123967086,"2",2009
579,0.412780656303972,0.362255965292842,922,0.0204607035674573,0.0158294386811914,-0.135812726274818,-0.152100817196932,0.0316619511975688,0.0220156660550053,"2",2011
343,0.276967930029155,0.21015514809591,709,0.0241627557029794,0.0153009288242223,-0.129426946422597,0.00994054568399458,0.0304545540252175,0.0209629594981608,"2",2013
366,0.147540983606557,0.220095693779904,836,0.0185375591088208,0.014329244503379,0.129054761074294,0.0515731289885304,0.0277374412689748,0.0214778334612765,"2",2015
470,0.276595744680851,0.271668822768435,773,0.0206330935740814,0.0159990650399551,-0.0125693420405871,NA,0.0326654711237138,NA,"2",2017
